column,note,question,subquestion,response_format
id,participant id,Prolific ID,,
Completed,time when final form was submitted,,,
complete_data,boolean of whether Completed has a date-time value (or is blank),,,
age,age,Age,,
gender,gender,Gender,,
completion_time,time in seconds from loading of statements rating page and submission of completed page.,,,
group,"study was run in two batches, with half of participants each completing a predefined half of statements (1-128) and half getting the other (129-256). This variable defines the group membership.",,,
catch_1,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,please respond somewhat agree,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
catch_2,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,please respond somewhat agree,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
catch_3,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,please respond somewhat disagree,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
catch_4,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,please respond somewhat disagree,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_1,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,trembling prevents panic,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_2,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,failure causes cheerfulness,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_3,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,happiness prevents isolation,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_4,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,stress causes exams,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_5,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,smoke prevents panic,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_6,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,defeat prevents humiliation,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_7,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,loneliness causes socializing,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_8,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,cholesterol causes heart-disease,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_9,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,fire prevents damage,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_10,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,cancer causes death,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_11,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,weight-gain prevents dieting,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_12,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,pride prevents failure,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_13,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,humiliation causes defeat,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_14,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,humiliation prevents defeat,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_15,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,sleeplessness prevents grumpiness,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_16,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,cigarettes cause cancer,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_17,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,nervousness causes safety,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_18,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,anger causes intimacy,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_19,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,safety causes nervousness,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_20,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,nervousness prevents safety,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_21,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,embarrassment prevents failure,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_22,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,homelessness prevents poverty,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_23,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,uncertainty prevents worry,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_24,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,grief prevents crying,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_25,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,socializing causes loneliness,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_26,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,cars prevent pollution,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_27,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,accidents prevent safety,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_28,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,beauty causes attraction,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_29,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,intimacy causes anger,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
