"stimulus_pair","statement","relation","es","es_ci_lower","es_ci_upper"
"cars pollution","cars cause pollution","cause",4.74,4.01,5.48
"cigarettes cancer","cigarettes cause cancer","cause",4.69,3.96,5.42
"fire damage","fire causes damage","cause",4.41,3.71,5.11
"happiness smiling","happiness causes smiling","cause",4.35,3.66,5.05
"death grief","death causes grief","cause",4.16,3.48,4.84
"exams stress","exams cause stress","cause",4.15,3.48,4.83
"neglect sadness","neglect causes sadness","cause",3.97,3.31,4.63
"cholesterol heart-disease","cholesterol causes heart-disease","cause",3.96,3.3,4.62
"jealousy conflict","jealousy causes conflict","cause",3.95,3.3,4.61
"jokes laughter","jokes cause laughter","cause",3.94,3.29,4.59
"grief crying","grief causes crying","cause",3.83,3.19,4.47
"cancer death","cancer causes death","cause",3.75,3.11,4.39
"poverty homelessness","poverty causes homelessness","cause",3.74,3.11,4.38
"rejection embarrassment","rejection causes embarrassment","cause",3.69,3.06,4.32
"anger violence","anger causes violence","cause",3.66,3.03,4.29
"isolation loneliness","isolation causes loneliness","cause",3.64,3.02,4.27
"sleeplessness grumpiness","sleeplessness causes grumpiness","cause",3.61,2.99,4.23
"uncertainty worry","uncertainty causes worry","cause",3.55,2.93,4.17
"failure embarrassment","failure causes embarrassment","cause",3.5,2.89,4.11
"insults offense","insults cause offense","cause",3.48,2.87,4.09
"depression suicide","depression causes suicide","cause",3.47,2.86,4.08
"anger violence","violence causes anger","cause",3.47,2.86,4.08
"panic trembling","panic causes trembling","cause",3.46,2.85,4.07
"praise self-esteem","praise causes self-esteem","cause",3.43,2.82,4.04
"beauty attraction","beauty causes attraction","cause",3.36,2.76,3.96
"dieting weight-loss","dieting causes weight-loss","cause",3.34,2.74,3.94
"admiration complements","admiration causes complements","cause",3.33,2.73,3.93
"happiness smiling","smiling causes happiness","cause",3.33,2.73,3.93
"diseases symptoms","diseases cause symptoms","cause",3.29,2.7,3.88
"uncertainty worry","worry causes uncertainty","cause",3.14,2.56,3.72
"success pride","success causes pride","cause",3.13,2.55,3.71
"resentment divorce","resentment causes divorce","cause",3.12,2.54,3.7
"defeat humiliation","defeat causes humiliation","cause",3.06,2.49,3.63
"resentment divorce","divorce causes resentment","cause",3.02,2.45,3.59
"lying guilt","lying causes guilt","cause",3,2.43,3.57
"admiration complements","complements cause admiration","cause",2.82,2.27,3.37
"neglect sadness","sadness causes neglect","cause",2.76,2.21,3.31
"jealousy conflict","conflict causes jealousy","cause",2.69,2.15,3.23
"isolation loneliness","loneliness causes isolation","cause",2.62,2.08,3.15
"poverty homelessness","homelessness causes poverty","cause",2.6,2.07,3.13
"smoke panic","smoke causes panic","cause",2.59,2.06,3.12
"dieting weight-gain","weight-gain causes dieting","cause",2.53,2,3.06
"rejection embarrassment","embarrassment causes rejection","cause",2.32,1.81,2.83
"laws crime","crime causes laws","cause",2.21,1.71,2.71
"vaccines disease","disease causes vaccines","cause",2.2,1.7,2.7
"insults offense","offense causes insults","cause",2.18,1.68,2.68
"praise self-esteem","self-esteem causes praise","cause",2.15,1.65,2.65
"sleeplessness grumpiness","grumpiness causes sleeplessness","cause",2.13,1.63,2.63
"failure embarrassment","embarrassment causes failure","cause",2.11,1.61,2.61
"lying guilt","guilt causes lying","cause",2.1,1.6,2.59
"depression suicide","suicide causes depression","cause",2,1.51,2.49
"socializing loneliness","loneliness causes socializing","cause",1.9,1.42,2.38
"jokes laughter","laughter causes jokes","cause",1.88,1.4,2.36
"success pride","pride causes success","cause",1.83,1.35,2.31
"preparation stress","stress causes preparation","cause",1.8,1.32,2.27
"grief crying","crying causes grief","cause",1.79,1.31,2.26
"recycling pollution","pollution causes recycling","cause",1.75,1.28,2.22
"panic trembling","trembling causes panic","cause",1.73,1.26,2.2
"beauty attraction","attraction causes beauty","cause",1.59,1.13,2.05
"defeat humiliation","humiliation causes defeat","cause",1.59,1.13,2.05
"failure pride","pride causes failure","cause",1.58,1.12,2.04
"fire damage","damage causes fire","cause",1.55,1.09,2.01
"brushing toothaches","toothaches cause brushing","cause",1.52,1.06,1.98
"safety nervousness","nervousness causes safety","cause",1.41,0.95,1.86
"safety accidents","accidents cause safety","cause",1.32,0.87,1.77
"preparation stress","preparation causes stress","cause",1.27,0.82,1.72
"safety injury","injury causes safety","cause",1.21,0.76,1.65
"deodorant smell","deodorant causes smell","cause",1.15,0.71,1.59
"diseases symptoms","symptoms cause diseases","cause",1.14,0.7,1.58
"exercise heart-disease","heart-disease causes exercise","cause",1.12,0.68,1.56
"death grief","grief causes death","cause",1.08,0.64,1.52
"deodorant smell","smell causes deodorant","cause",1.08,0.64,1.52
"jealousy friendliness","friendliness causes jealousy","cause",1.05,0.61,1.49
"laws crime","laws cause crime","cause",1.01,0.57,1.45
"anger intimacy","intimacy causes anger","cause",0.91,0.48,1.34
"isolation happiness","isolation causes happiness","cause",0.9,0.47,1.33
"cars pollution","pollution causes cars","cause",0.8,0.37,1.23
"cholesterol heart-disease","heart-disease causes cholesterol","cause",0.8,0.37,1.23
"criticism self-esteem","self-esteem causes criticism","cause",0.79,0.36,1.22
"conflict friendliness","conflict causes friendliness","cause",0.74,0.31,1.17
"dieting weight-gain","dieting causes weight-gain","cause",0.74,0.31,1.17
"cigarettes cancer","cancer causes cigarettes","cause",0.72,0.29,1.15
"conflict friendliness","friendliness causes conflict","cause",0.71,0.28,1.14
"dieting weight-loss","weight-loss causes dieting","cause",0.7,0.27,1.13
"safety nervousness","safety causes nervousness","cause",0.68,0.25,1.1
"agreement conflict","agreement causes conflict","cause",0.67,0.24,1.09
"failure cheerfulness","failure causes cheerfulness","cause",0.67,0.24,1.09
"certainty fear","certainty causes fear","cause",0.67,0.24,1.09
"overeating weightloss","weightloss causes overeating","cause",0.65,0.22,1.07
"criticism self-esteem","criticism causes self-esteem","cause",0.64,0.21,1.06
"disgust arousal","arousal causes disgust","cause",0.62,0.2,1.04
"complements offense","complements cause offense","cause",0.61,0.19,1.03
"exams stress","stress causes exams","cause",0.58,0.16,1
"regret happiness","happiness causes regret","cause",0.58,0.16,1
"agreement conflict","conflict causes agreement","cause",0.55,0.13,0.97
"brushing toothaches","brushing causes toothaches","cause",0.54,0.12,0.96
"depression joy","depression causes joy","cause",0.53,0.11,0.95
"anger intimacy","anger causes intimacy","cause",0.52,0.1,0.94
"certainty worry","worry causes certainty","cause",0.52,0.1,0.94
"conflict harmony","conflict causes harmony","cause",0.51,0.09,0.93
"vaccines disease","vaccines cause disease","cause",0.48,0.06,0.9
"depression joy","joy causes depression","cause",0.47,0.05,0.89
"cancer death","death causes cancer","cause",0.46,0.04,0.88
"certainty fear","fear causes certainty","cause",0.46,0.04,0.88
"complements offense","offense causes complements","cause",0.45,0.03,0.87
"certainty worry","certainty causes worry","cause",0.41,-0.01,0.83
"conflict harmony","harmony causes conflict","cause",0.41,-0.01,0.83
"failure cheerfulness","cheerfulness causes failure","cause",0.41,-0.01,0.83
"jobs homelessness","homelessness causes jobs","cause",0.41,-0.01,0.83
"coffee sleep","coffee causes sleep","cause",0.4,-0.02,0.82
"disgust arousal","disgust causes arousal","cause",0.4,-0.02,0.82
"depression cheerfulness","cheerfulness causes depression","cause",0.38,-0.04,0.8
"jobs poverty","jobs cause poverty","cause",0.37,-0.05,0.79
"jobs poverty","poverty causes jobs","cause",0.37,-0.05,0.79
"socializing loneliness","socializing causes loneliness","cause",0.36,-0.06,0.78
"smoke panic","panic causes smoke","cause",0.34,-0.08,0.76
"regret happiness","regret causes happiness","cause",0.33,-0.09,0.75
"jealousy friendliness","jealousy causes friendliness","cause",0.33,-0.09,0.75
"safety accidents","safety causes accidents","cause",0.31,-0.11,0.73
"failure pride","failure causes pride","cause",0.31,-0.11,0.73
"isolation happiness","happiness causes isolation","cause",0.31,-0.11,0.73
"recycling pollution","recycling causes pollution","cause",0.3,-0.12,0.72
"depression cheerfulness","depression causes cheerfulness","cause",0.25,-0.17,0.67
"coffee sleep","sleep causes coffee","cause",0.25,-0.17,0.67
"safety injury","safety causes injury","cause",0.19,-0.23,0.61
"jobs homelessness","jobs cause homelessness","cause",0.17,-0.25,0.59
"exercise heart-disease","exercise causes heart-disease","cause",0.13,-0.29,0.55
"overeating weightloss","overeating causes weightloss","cause",-0.02,-0.44,0.4
"depression joy","depression prevents joy","prevent",4.25,3.57,4.94
"vaccines disease","vaccines prevent disease","prevent",3.92,3.27,4.57
"conflict friendliness","friendliness prevents conflict","prevent",3.6,2.98,4.22
"depression cheerfulness","depression prevents cheerfulness","prevent",3.56,2.94,4.18
"safety accidents","safety prevents accidents","prevent",3.55,2.93,4.17
"conflict friendliness","conflict prevents friendliness","prevent",3.49,2.88,4.1
"safety injury","safety prevents injury","prevent",3.39,2.79,3.99
"conflict harmony","conflict prevents harmony","prevent",3.38,2.78,3.98
"deodorant smell","deodorant prevents smell","prevent",3.31,2.72,3.9
"exercise heart-disease","exercise prevents heart-disease","prevent",3.31,2.72,3.9
"depression joy","joy prevents depression","prevent",3.3,2.71,3.89
"agreement conflict","agreement prevents conflict","prevent",3.28,2.69,3.87
"recycling pollution","recycling prevents pollution","prevent",3.21,2.62,3.79
"regret happiness","regret prevents happiness","prevent",3.19,2.61,3.77
"conflict harmony","harmony prevents conflict","prevent",3.18,2.6,3.76
"failure cheerfulness","failure prevents cheerfulness","prevent",3.17,2.59,3.75
"brushing toothaches","brushing prevents toothaches","prevent",3.15,2.57,3.73
"agreement conflict","conflict prevents agreement","prevent",3.11,2.53,3.69
"socializing loneliness","socializing prevents loneliness","prevent",3.09,2.52,3.66
"anger intimacy","anger prevents intimacy","prevent",2.97,2.41,3.53
"dieting weight-gain","dieting prevents weight-gain","prevent",2.96,2.4,3.52
"coffee sleep","coffee prevents sleep","prevent",2.95,2.39,3.51
"jealousy friendliness","jealousy prevents friendliness","prevent",2.86,2.3,3.41
"depression cheerfulness","cheerfulness prevents depression","prevent",2.82,2.27,3.37
"isolation happiness","isolation prevents happiness","prevent",2.8,2.25,3.35
"jobs homelessness","jobs prevent homelessness","prevent",2.79,2.24,3.34
"jobs poverty","jobs prevent poverty","prevent",2.78,2.23,3.33
"preparation stress","preparation prevents stress","prevent",2.77,2.22,3.32
"disgust arousal","disgust prevents arousal","prevent",2.76,2.21,3.31
"certainty worry","certainty prevents worry","prevent",2.66,2.12,3.2
"overeating weightloss","overeating prevents weightloss","prevent",2.53,2,3.06
"certainty fear","certainty prevents fear","prevent",2.41,1.89,2.93
"laws crime","laws prevent crime","prevent",2.41,1.89,2.93
"complements offense","complements prevent offense","prevent",2.37,1.85,2.88
"certainty fear","fear prevents certainty","prevent",2.35,1.84,2.86
"certainty worry","worry prevents certainty","prevent",2.32,1.81,2.83
"regret happiness","happiness prevents regret","prevent",2.31,1.8,2.82
"safety nervousness","safety prevents nervousness","prevent",2.21,1.71,2.71
"failure pride","failure prevents pride","prevent",2.17,1.67,2.67
"socializing loneliness","loneliness prevents socializing","prevent",2.14,1.64,2.64
