identifier,statement,stimulus_1,relation,stimulus_2
1,admiration causes complements,admiration,cause,complements
2,admiration prevents complements,admiration,prevent,complements
3,anger causes violence,anger,cause,violence
4,anger prevents violence,anger,prevent,violence
5,beauty causes attraction,beauty,cause,attraction
6,beauty prevents attraction,beauty,prevent,attraction
7,cancer causes death,cancer,cause,death
8,cancer prevents death,cancer,prevent,death
9,cars cause polution,cars,cause,polution
10,cars prevent polution,cars,prevent,polution
11,cholesterol causes heart-disease,cholesterol,cause,heart-disease
12,cholesterol prevents heart-disease,cholesterol,prevent,heart-disease
13,cigarettes cause cancer,cigarettes,cause,cancer
14,cigarettes prevent cancer,cigarettes,prevent,cancer
15,death causes grief,death,cause,grief
16,death prevents grief,death,prevent,grief
17,defeat causes humiliation,defeat,cause,humiliation
18,defeat prevents humiliation,defeat,prevent,humiliation
19,depression causes suicide,depression,cause,suicide
20,depression prevents suicide,depression,prevent,suicide
21,dieting causes weight-loss,dieting,cause,weight-loss
22,dieting prevents weight-loss,dieting,prevent,weight-loss
23,diseases cause symptoms,diseases,cause,symptoms
24,diseases prevent symptoms,diseases,prevent,symptoms
25,exams cause stress,exams,cause,stress
26,exams prevent stress,exams,prevent,stress
27,failure causes embarrassment,failure,cause,embarrassment
28,failure prevents embarrassment,failure,prevent,embarrassment
29,fire causes damage,fire,cause,damage
30,fire prevents damage,fire,prevent,damage
31,grief causes crying,grief,cause,crying
32,grief prevents crying,grief,prevent,crying
33,happiness causes smiling,happiness,cause,smiling
34,happiness prevents smiling,happiness,prevent,smiling
35,insults cause offense,insults,cause,offense
36,insults prevent offense,insults,prevent,offense
37,isolation causes loneliness,isolation,cause,loneliness
38,isolation prevents loneliness,isolation,prevent,loneliness
39,jealousy causes conflict,jealousy,cause,conflict
40,jealousy prevents conflict,jealousy,prevent,conflict
41,jokes cause laughter,jokes,cause,laughter
42,jokes prevent laughter,jokes,prevent,laughter
43,lying causes guilt,lying,cause,guilt
44,lying prevents guilt,lying,prevent,guilt
45,neglect causes sadness,neglect,cause,sadness
46,neglect prevents sadness,neglect,prevent,sadness
47,panic causes trembling,panic,cause,trembling
48,panic prevents trembling,panic,prevent,trembling
49,poverty causes homelessness,poverty,cause,homelessness
50,poverty prevents homelessness,poverty,prevent,homelessness
51,praise causes self-esteem,praise,cause,self-esteem
52,praise prevents self-esteem,praise,prevent,self-esteem
53,rejection causes embarrassment,rejection,cause,embarrassment
54,rejection prevents embarrassment,rejection,prevent,embarrassment
55,resentment causes divorce,resentment,cause,divorce
56,resentment prevents divorce,resentment,prevent,divorce
57,sleeplessness causes grumpiness,sleeplessness,cause,grumpiness
58,sleeplessness prevents grumpiness,sleeplessness,prevent,grumpiness
59,smoke causes panic,smoke,cause,panic
60,smoke prevents panic,smoke,prevent,panic
61,success causes pride,success,cause,pride
62,success prevents pride,success,prevent,pride
63,uncertainty causes worry,uncertainty,cause,worry
64,uncertainty prevents worry,uncertainty,prevent,worry
65,agreement causes conflict,agreement,cause,conflict
66,agreement prevents conflict,agreement,prevent,conflict
67,anger causes intimacy,anger,cause,intimacy
68,anger prevents intimacy,anger,prevent,intimacy
69,brushing causes toothaches,brushing,cause,toothaches
70,brushing prevents toothaches,brushing,prevent,toothaches
71,certainty causes fear,certainty,cause,fear
72,certainty prevents fear,certainty,prevent,fear
73,certainty causes worry,certainty,cause,worry
74,certainty prevents worry,certainty,prevent,worry
75,coffee causes sleep,coffee,cause,sleep
76,coffee prevents sleep,coffee,prevent,sleep
77,complements cause offense,complements,cause,offense
78,complements prevent offense,complements,prevent,offense
79,conflict causes friendliness,conflict,cause,friendliness
80,conflict prevents friendliness,conflict,prevent,friendliness
81,conflict causes harmony,conflict,cause,harmony
82,conflict prevents harmony,conflict,prevent,harmony
83,criticism causes self-esteem,criticism,cause,self-esteem
84,criticism prevents self-esteem,criticism,prevent,self-esteem
85,deodorant causes smell,deoderant,cause,smell
86,deodorant prevents smell,deoderant,prevent,smell
87,depression causes cheerfulness,depression,cause,cheerfulness
88,depression prevents cheerfulness,depression,prevent,cheerfulness
89,depression causes joy,depression,cause,joy
90,depression prevents joy,depression,prevent,joy
91,dieting causes weight-gain,dieting,cause,weight-gain
92,dieting prevents weight-gain,dieting,prevent,weight-gain
93,disgust causes arousal,disgust,cause,arousal
94,disgust prevents arousal,disgust,prevent,arousal
95,exercise causes heart-disease,exercise,cause,heart-disease
96,exercise prevents heart-disease,exercise,prevent,heart-disease
97,failure causes cheerfulness,failure,cause,cheerfulness
98,failure prevents cheerfulness,failure,prevent,cheerfulness
99,failure causes pride,failure,cause,pride
100,failure prevents pride,failure,prevent,pride
101,isolation causes happiness,isolation,cause,happiness
102,isolation prevents happiness,isolation,prevent,happiness
103,jealousy causes friendliness,jealousy,cause,friendliness
104,jealousy prevents friendliness,jealousy,prevent,friendliness
105,jobs cause homelessness,jobs,cause,homelessness
106,jobs prevent homelessness,jobs,prevent,homelessness
107,jobs cause poverty,jobs,cause,poverty
108,jobs prevent poverty,jobs,prevent,poverty
109,laws cause crime,laws,cause,crime
110,laws prevent crime,laws,prevent,crime
111,overeating causes weightloss,overeating,cause,weightloss
112,overeating prevents weightloss,overeating,prevent,weightloss
113,preparation causes stress,preparation,cause,stress
114,preparation prevents stress,preparation,prevent,stress
115,recycling causes polution,recycling,cause,polution
116,recycling prevents polution,recycling,prevent,polution
117,regret causes happiness,regret,cause,happiness
118,regret prevents happiness,regret,prevent,happiness
119,safety causes accidents,safety,cause,accidents
120,safety prevents accidents,safety,prevent,accidents
121,safety causes injury,safety,cause,injury
122,safety prevents injury,safety,prevent,injury
123,safety causes nervousness,safety,cause,nervousness
124,safety prevents nervousness,safety,prevent,nervousness
125,socializing causes loneliness,socializing,cause,loneliness
126,socializing prevents loneliness,socializing,prevent,loneliness
127,vaccines cause disease,vaccines,cause,disease
128,vaccines prevent disease,vaccines,prevent,disease
129,complements cause admiration,complements,cause,admiration
130,complements prevent admiration,complements,prevent,admiration
131,violence causes anger,violence,cause,anger
132,violence prevents anger,violence,prevent,anger
133,attraction causes beauty,attraction,cause,beauty
134,attraction prevents beauty,attraction,prevent,beauty
135,death causes cancer,death,cause,cancer
136,death prevents cancer,death,prevent,cancer
137,pollution causes cars,polution,cause,cars
138,pollution prevents cars,polution,prevent,cars
139,heart-disease causes cholesterol,heart-disease,cause,cholesterol
140,heart-disease prevents cholesterol,heart-disease,prevent,cholesterol
141,cancer causes cigarettes,cancer,cause,cigarettes
142,cancer prevents cigarettes,cancer,prevent,cigarettes
143,grief causes death,grief,cause,death
144,grief prevents death,grief,prevent,death
145,humiliation causes defeat,humiliation,cause,defeat
146,humiliation prevents defeat,humiliation,prevent,defeat
147,suicide causes depression,suicide,cause,depression
148,suicide prevents depression,suicide,prevent,depression
149,weight-loss causes dieting,weight-loss,cause,dieting
150,weight-loss prevents dieting,weight-loss,prevent,dieting
151,symptoms cause diseases,symptoms,cause,diseases
152,symptoms prevent diseases,symptoms,prevent,diseases
153,stress causes exams,stress,cause,exams
154,stress prevents exams,stress,prevent,exams
155,embarrassment causes failure,embarrassment,cause,failure
156,embarrassment prevents failure,embarrassment,prevent,failure
157,damage causes fire,damage,cause,fire
158,damage prevents fire,damage,prevent,fire
159,crying causes grief,crying,cause,grief
160,crying prevents grief,crying,prevent,grief
161,smiling causes happiness,smiling,cause,happiness
162,smiling prevents happiness,smiling,prevent,happiness
163,offense causes insults,offense,cause,insults
164,offense prevents insults,offense,prevent,insults
165,loneliness causes isolation,loneliness,cause,isolation
166,loneliness prevents isolation,loneliness,prevent,isolation
167,conflict causes jealousy,conflict,cause,jealousy
168,conflict prevents jealousy,conflict,prevent,jealousy
169,laughter causes jokes,laughter,cause,jokes
170,laughter prevents jokes,laughter,prevent,jokes
171,guilt causes lying,guilt,cause,lying
172,guilt prevents lying,guilt,prevent,lying
173,sadness causes neglect,sadness,cause,neglect
174,sadness prevents neglect,sadness,prevent,neglect
175,trembling causes panic,trembling,cause,panic
176,trembling prevents panic,trembling,prevent,panic
177,homelessness causes poverty,homelessness,cause,poverty
178,homelessness prevents poverty,homelessness,prevent,poverty
179,self-esteem causes praise,self-esteem,cause,praise
180,self-esteem prevents praise,self-esteem,prevent,praise
181,embarrassment causes rejection,embarrassment,cause,rejection
182,embarrassment prevents rejection,embarrassment,prevent,rejection
183,divorce causes resentment,divorce,cause,resentment
184,divorce prevents resentment,divorce,prevent,resentment
185,grumpiness causes sleeplessness,grumpiness,cause,sleeplessness
186,grumpiness prevents sleeplessness,grumpiness,prevent,sleeplessness
187,panic causes smoke,panic,cause,smoke
188,panic prevents smoke,panic,prevent,smoke
189,pride causes success,pride,cause,success
190,pride prevents success,pride,prevent,success
191,worry causes uncertainty,worry,cause,uncertainty
192,worry prevents uncertainty,worry,prevent,uncertainty
193,conflict causes agreement,conflict,cause,agreement
194,conflict prevents agreement,conflict,prevent,agreement
195,intimacy causes anger,intimacy,cause,anger
196,intimacy prevents anger,intimacy,prevent,anger
197,toothaches cause brushing,toothaches,cause,brushing
198,toothaches prevent brushing,toothaches,prevent,brushing
199,fear causes certainty,fear,cause,certainty
200,fear prevents certainty,fear,prevent,certainty
201,worry causes certainty,worry,cause,certainty
202,worry prevents certainty,worry,prevent,certainty
203,sleep causes coffee,sleep,cause,coffee
204,sleep prevents coffee,sleep,prevent,coffee
205,offense causes complements,offense,cause,complements
206,offense prevents complements,offense,prevent,complements
207,friendliness causes conflict,friendliness,cause,conflict
208,friendliness prevents conflict,friendliness,prevent,conflict
209,harmony causes conflict,harmony,cause,conflict
210,harmony prevents conflict,harmony,prevent,conflict
211,self-esteem causes criticism,self-esteem,cause,criticism
212,self-esteem prevents criticism,self-esteem,prevent,criticism
213,smell causes deoderant,smell,cause,deoderant
214,smell prevents deoderant,smell,prevent,deoderant
215,cheerfulness causes depression,cheerfulness,cause,depression
216,cheerfulness prevents depression,cheerfulness,prevent,depression
217,joy causes depression,joy,cause,depression
218,joy prevents depression,joy,prevent,depression
219,weight-gain causes dieting,weight-gain,cause,dieting
220,weight-gain prevents dieting,weight-gain,prevent,dieting
221,arousal causes disgust,arousal,cause,disgust
222,arousal prevents disgust,arousal,prevent,disgust
223,heart-disease causes exercise,heart-disease,cause,exercise
224,heart-disease prevents exercise,heart-disease,prevent,exercise
225,cheerfulness causes failure,cheerfulness,cause,failure
226,cheerfulness prevents failure,cheerfulness,prevent,failure
227,pride causes failure,pride,cause,failure
228,pride prevents failure,pride,prevent,failure
229,happiness causes isolation,happiness,cause,isolation
230,happiness prevents isolation,happiness,prevent,isolation
231,friendliness causes jealousy,friendliness,cause,jealousy
232,friendliness prevents jealousy,friendliness,prevent,jealousy
233,homelessness causes jobs,homelessness,cause,jobs
234,homelessness prevents jobs,homelessness,prevent,jobs
235,poverty causes jobs,poverty,cause,jobs
236,poverty prevents jobs,poverty,prevent,jobs
237,crime causes laws,crime,cause,laws
238,crime prevents laws,crime,prevent,laws
239,weight-loss causes overeating,weightloss,cause,overeating
240,weight-loss prevents overeating,weightloss,prevent,overeating
241,stress causes preparation,stress,cause,preparation
242,stress prevents preparation,stress,prevent,preparation
243,pollution causes recycling,polution,cause,recycling
244,pollution prevents recycling,polution,prevent,recycling
245,happiness causes regret,happiness,cause,regret
246,happiness prevents regret,happiness,prevent,regret
247,accidents cause safety,accidents,cause,safety
248,accidents prevent safety,accidents,prevent,safety
249,injury causes safety,injury,cause,safety
250,injury prevents safety,injury,prevent,safety
251,nervousness causes safety,nervousness,cause,safety
252,nervousness prevents safety,nervousness,prevent,safety
253,loneliness causes socializing,loneliness,cause,socializing
254,loneliness prevents socializing,loneliness,prevent,socializing
255,disease causes vaccines,disease,cause,vaccines
256,disease prevents vaccines,disease,prevent,vaccines
